entry_number,year_date,dc_title,authid,authname,surname,given_name,initials,afid,affilname,affiliation_city,affiliation_country
1,2021,limiting nutrients drive mountain stream ecosystem processes along an elevation gradient,57195405105,beck w,Beck,Whitney S.,W.S.,60009226,Colorado State University,Fort Collins,United States
1,2021,limiting nutrients drive mountain stream ecosystem processes along an elevation gradient,23490049000,rugenski a,Rugenski,Amanda T.,A.T.,60029747,University of Georgia,Athens,United States
1,2021,limiting nutrients drive mountain stream ecosystem processes along an elevation gradient,57208766512,poff n,Poff,N. Le Roy,N.L.R.,60009226,Colorado State University,Fort Collins,United States
2,2021,environmental controls on long-term growth of freshwater mussels in an oligotrophic lake,57196418032,butitta v,Butitta,Vince L.,V.L.,60032179,University of Wisconsin-Madison,Madison,United States
2,2021,environmental controls on long-term growth of freshwater mussels in an oligotrophic lake,8930868500,rypel a,Rypel,Andrew L.,A.L.,60014439,"University of California, Davis",Davis,United States
2,2021,environmental controls on long-term growth of freshwater mussels in an oligotrophic lake,7103284815,stanley e,Stanley,Emily H.,E.H.,60032179,University of Wisconsin-Madison,Madison,United States
3,2021,leaf-litter decomposition and microbial responses to light and macro invertebrate consumer manipulations in experimental streams,57224183374,brady c,Brady,Cheyenne M.,C.M.,60007027,University of Southern Mississippi,Hattiesburg,United States
3,2021,leaf-litter decomposition and microbial responses to light and macro invertebrate consumer manipulations in experimental streams,57224183390,bonney j,Bonney,Joel,J.,60031138,Eastern Michigan University,Ypsilanti,United States
3,2021,leaf-litter decomposition and microbial responses to light and macro invertebrate consumer manipulations in experimental streams,7004196875,francoeur s,Francoeur,Steven N.,S.N.,60031138,Eastern Michigan University,Ypsilanti,United States
3,2021,leaf-litter decomposition and microbial responses to light and macro invertebrate consumer manipulations in experimental streams,56501631100,halvorson h,Halvorson,Halvor M.,H.M.,60007027,University of Southern Mississippi,Hattiesburg,United States
3,2021,leaf-litter decomposition and microbial responses to light and macro invertebrate consumer manipulations in experimental streams,8081331500,kuehn k,Kuehn,Kevin A.,K.A.,60007027,University of Southern Mississippi,Hattiesburg,United States
4,2021,seiche- and storm-driven benthic oxygen uptake in a eutrophic freshwater bay determined with aquatic eddy covariance,23492669300,koopmans d,Koopmans,Dirk,D.,60019909,University of Wisconsin-Milwaukee,Milwaukee,United States
4,2021,seiche- and storm-driven benthic oxygen uptake in a eutrophic freshwater bay determined with aquatic eddy covariance,35271263600,berg p,Berg,Peter,P.,60021918,University of Virginia,Charlottesville,United States
4,2021,seiche- and storm-driven benthic oxygen uptake in a eutrophic freshwater bay determined with aquatic eddy covariance,57202986468,brunner s,Brunner,Shelby,S.,60019909,University of Wisconsin-Milwaukee,Milwaukee,United States
